id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1284555,167524,1089,6.4,0,47.0,,,,,
1284556,167524,1090,16.0,0,47.0,,,,,
1284557,167524,1091,272.0,0,47.0,,,,,
1284558,167524,1093,529.0,0,47.0,,,,,
1284559,167524,1165,0.43,0,47.0,,,,,
1284560,167524,1166,0.49,0,47.0,,,,,
1284561,167524,1177,75.0,0,47.0,,,,,
1284562,167524,1178,1.7,0,47.0,,,,,
1284563,167524,1003,5.8,0,47.0,,,,,
1284564,167524,1104,1429.0,0,47.0,,,,,
1284565,167524,1210,0.061,0,40.0,,,,,
1284566,167524,1211,0.15,0,40.0,,,,,
1284567,167524,1215,0.085,0,40.0,,,,,
1284568,167524,1217,0.24,0,40.0,,,,,
1284569,167524,1218,0.156,0,40.0,,,,,
1284570,167524,1222,0.18,0,40.0,,,,,
1284571,167524,1224,1.336,0,40.0,,,,,
1284572,167524,1225,0.178,0,40.0,,,,,
1284573,167524,1226,0.45,0,40.0,,,,,
1284574,167524,1253,21.0,0,47.0,,,,,
1284575,167524,1257,0.2,0,47.0,,,,,
1284576,167524,1258,3.567,0,49.0,,,,,
1284577,167524,1323,0.0,0,40.0,,,,,
1284578,167524,1333,0.0,0,40.0,,,,,
1284579,167524,1300,0.002,0,40.0,,,,,
1284580,167524,1004,10.1,0,47.0,,,,,
1284581,167524,1051,35.62,0,47.0,,,,,
1284582,167524,1109,0.0,0,47.0,,,,,
1284583,167524,1110,2.0,0,47.0,,,,,
1284584,167524,2000,13.1,0,47.0,,,,,
1284585,167524,1087,357.0,0,47.0,,,,,
1284586,167524,1092,74.0,0,47.0,,,,,
1284587,167524,1095,0.4,0,47.0,,,,,
1284588,167524,1212,0.179,0,40.0,,,,,
1284589,167524,1213,0.331,0,40.0,,,,,
